Club,Logo_URL,Founded,Stadium,Manager,Trophies
Manchester United,https://resources.premierleague.com/premierleague25/badges/1.svg,1878,Old Trafford (74 310),Erik ten Hag,🏆 Premier League: 20 | 🏆 Champions League: 3 | 🏆 FA Cup: 12
Liverpool,https://resources.premierleague.com/premierleague25/badges/14.svg,1892,Anfield (54 000),Arne Slot,🏆 Premier League: 19 | 🏆 Champions League: 6 | 🏆 FA Cup: 8
Chelsea,https://resources.premierleague.com/premierleague25/badges/8.svg,1905,Stamford Bridge (40 343),Enzo Maresca,🏆 Premier League: 6 | 🏆 Champions League: 2 | 🏆 FA Cup: 8
Manchester City,https://resources.premierleague.com/premierleague25/badges/43.svg,1894,Etihad Stadium (53 400),Pep Guardiola,🏆 Premier League: 9 | 🏆 Champions League: 1 | 🏆 FA Cup: 6
Tottenham Hotspur,https://resources.premierleague.com/premierleague25/badges/6.svg,1882,Tottenham Hotspur Stadium (62 850),Ange Postecoglou,🏆 Premier League: 2 | 🏆 European Cup Winners' Cup: 1 | 🏆 FA Cup: 8
Arsenal,https://resources.premierleague.com/premierleague25/badges/3.svg,1886,Emirates Stadium (60 704),Mikel Arteta,🏆 Premier League: 13 | 🏆 Champions League: 0 | 🏆 FA Cup: 14
